"screenName" "isTroll" "created" "text" "isRetweet" "favoriteCount" "retweetCount" "name" "protected" "listedCount" "followersCount" "location" "favoritesCount" "friendsCount" "verified" "description"
"katy_perry1" "AReasonToDance" NA 1361234678 "#NowPlaying Firework (Scene Kings Classic Remix) - Katy Perry" FALSE 0 0 "Radio G!" FALSE 4 33 "Los Angeles" 0 4 FALSE "Free online streaming dance music station with the latest upbeat and uptempo club and dance music to give you A Reason To Dance. We are Serious Dance Music!"
"katy_perry2" "featstaxx" NA NA "I added a video to a @YouTube playlist https://t.co/Zbhkl0NDGU Katy Perry - Birthday" FALSE 0 0 NA NA NA NA NA NA NA NA NA
"katy_perry3" "featstaxx" FALSE NA "I added a video to a @YouTube playlist https://t.co/5dDYG52FkB Katy Perry Legendary Lovers Unofficial Video" FALSE 0 0 NA NA NA NA NA NA NA NA NA
"katy_perry4" "featstaxx" NA NA "I added a video to a @YouTube playlist https://t.co/80F3Pyo5od Katy Perry - Part Of Me" FALSE 0 0 NA NA NA NA NA NA NA NA NA
"katy_perry5" "katysacutie" NA 1404193151 "RT @KatyCharts: Katy Perry Profits Tours:

Hello Katy Tour: $1,5M
California Dreams Tour: $60M
Prismatic World Tour: $204,3M https://t.co/s‚Ä¶" TRUE 0 232 "bri" FALSE 22 1771 "" 3588 640 FALSE "pleased as punch‚ÄºÔ∏è"
"katy_perry6" "PearlsOnSilk" NA 1374399215 "8 Photos Of Katy Perry You've Never Seen! https://t.co/Vr6ZMaGFcM &gt;" FALSE 0 0 "Isabella Pearls" FALSE 135 25613 "USA" 12 16384 FALSE "Be nice to me, please!"
"katy_perry7" "kxtysgurl" NA 1380126862 "RT @SmadarKatyCat: Rare photo of Katy Perry taking a picture of the biggest name in Pop music this decade. https://t.co/0amaBqk2I6" TRUE 0 220 "mar√ça" FALSE 24 2190 "Espa√±a" 12158 1133 FALSE "everything matters"
"katy_perry8" "KatyPerry_Watch" FALSE 1329214757 "‚ù§‚ù§#Entertainment #Buzz NEW! KATY PERRY Concert Tshirt 2011 California Girls Size M! #KatyPerry #Auction‚Ä¶ https://t.co/JsUjkiVJCK" FALSE 2 0 "Katy Perry Fans" FALSE 301 5666 "" 0 3758 FALSE "The latest KatyPerry gossip online keeping you up to date with all KatyPerry news. #InstantFollowBack"
"katy_perry9" "KatysMyChampion" NA 1321243613 "RT @SmadarKatyCat: Rare photo of Katy Perry taking a picture of the biggest name in Pop music this decade. https://t.co/0amaBqk2I6" TRUE 0 220 "KatysKoala" FALSE 36 7768 "In Katy's movie " 94958 3343 FALSE "I told Katy I loved her. She smiled at me. ‚ú®22.11.14~24.11.14~13.12.14‚ú®"
"katy_perry10" "kenzie_wilkins" NA 1358731092 "RT @MashupTunes: Katy Perry x Rise x cover by: summerbmusic https://t.co/hEnMzAusH7" TRUE 0 224 "Kenzie" FALSE 1 473 "" 16923 395 FALSE ""
"katy_perry11" "PrismaticPerry" NA 1336987280 "RT @SmadarKatyCat: Rare photo of Katy Perry taking a picture of the biggest name in Pop music this decade. https://t.co/0amaBqk2I6" TRUE 0 220 "Ì†ºÌæÉorlaÌ†ºÌæÉ" FALSE 10 2008 "" 42 611 FALSE "if she says sorry, sure!"
"katy_perry12" "KatysAdidasSuit" NA 1460267247 "RT @acefinnr: Katy Perry by David LaChapelle https://t.co/K0XvkIBrsy" TRUE 0 64 "„Ö§" FALSE 1 97 "living in a yellow submarine" 4060 413 FALSE "I was filled with poison but blessed with beauty and rage."
"katy_perry13" "seed_33" NA 1286517104 "I liked a @YouTube video from @nemanja_banjac https://t.co/ouxqBUtiCs Katy Perry - It Takes Two (Lyrics)" FALSE 1 0 "Mark Turnipseed" FALSE 0 58 "" 3 35 FALSE ""
"katy_perry14" "henriy_gama" FALSE 1405219781 "RT @KatyCharts: Worldwide iTunes Song Chart:
137. Katy Perry - Rise (-19) https://t.co/kEvi1o449R" TRUE 0 12 "KATY MY LADY" FALSE 19 1299 "" 8088 664 FALSE "I love Katy Perry and I will defend it."
"katy_perry15" "BrianWCollins" NA 1232333492 "Like how did they segway from this into what Katy Perry ate last night or whatever the fuck" FALSE 2 0 "Brian Collins" FALSE 401 12584 "Los Angeles" 12352 849 FALSE "I'm an editor, a BirthMoviesDeath writer, and a horror movie watcher. I also sing Meat Loaf songs at karaoke. And I have a baby to feed, so buy my book, please."
"katy_perry16" "henriy_gama" NA 1405219781 "RT @KatyCharts: Worldwide iTunes Song Chart:
117. Katy Perry - Roar (-11) https://t.co/Bacv0hO16G" TRUE 0 12 "KATY MY LADY" FALSE 19 1299 "" 8088 664 FALSE "I love Katy Perry and I will defend it."
"katy_perry17" "KatyKatDJ" NA 1393789211 "RT @KatyCharts: Katy Perry Profits Tours:

Hello Katy Tour: $1,5M
California Dreams Tour: $60M
Prismatic World Tour: $204,3M https://t.co/s‚Ä¶" TRUE 0 232 "‚ö°Ô∏èNicoDJI‚ö°Ô∏è" FALSE 9 762 "Italia" 17659 310 FALSE "#RISŒû‚ö°Ô∏è‚ö°Ô∏èI'm DJ music pr,songwriter.... Account dedicated to my two Love Katy and make music !!! best night 21-02-15 /2015 EMA"
"katy_perry18" "grishinromadii3" NA 1468422689 "#katy perry porn free sex video link https://t.co/5SqG5m4Z7w" FALSE 0 0 "Christine Murphy" FALSE 114 1203 "" 0 21 FALSE ""
"katy_perry19" "lauramoppie" NA 1298318712 "Katy Perry ft. Kanye West - E.T. - Guitar Cover by @AdamLeeGuitar ‚ù§Ô∏è‚ù§Ô∏èÌ†ºÌæ∏Ì†ºÌºπ‚ù§Ô∏è‚ù§Ô∏è https://t.co/y2OK1A48IG" FALSE 1 1 "laura justice for MJ" FALSE 48 2779 "netherlands" 49124 2361 FALSE "i love music,Michael Jackson,the Jacksons,Kool and the Gang,Usher,Lenny Kravitz, Austin Brown,Tommy Parker,Huge Fan of Adam Lee Guitarist"
"katy_perry20" "megs_brianne" NA 1265143826 "Y'all. This guy really thinks that he dated Katy Perry for 6 years. #Catfish" FALSE 1 0 "MBP" FALSE 9 354 "Memphis" 4006 461 FALSE "Bears. Beets. Battlestar Galactica."
"katy_perry21" "henriy_gama" NA 1405219781 "RT @KatyCharts: Worldwide iTunes Album Chart:
